employee_id,department,job_level,location,gender,ethnicity,hire_date,tenure_months,performance_score,engagement_score,absence_days_ytd,left_company,exit_reason,exit_date,dq_missing_exit_date,tenure_band,salary_proxy,replacement_cost_est,flight_risk_score,high_risk_employee,hire_year
EMP02158,People & Culture,Analyst,Manchester,Female,White,2024-05-01,8.0,3.7,2.8,0.0,0,,,0,7-12m,38000,22800.0,1.84,0,2024.0
EMP01705,Technology,Manager,London,Female,White,2022-01-29,35.0,3.8,2.6,4.0,0,,,0,25-36m,68000,40800.0,1.92,0,2022.0
EMP02040,Sales & Commercial,Analyst,Lagos,Female,Black / African / Caribbean,2024-03-01,10.0,3.1,3.2,6.0,0,,,0,7-12m,38000,22800.0,1.84,0,2024.0
EMP01296,Operations,Manager,Manchester,Female,Not disclosed,2022-05-31,31.0,3.8,4.0,2.0,0,,,0,25-36m,68000,40800.0,1.08,0,2022.0
EMP01144,Sales & Commercial,Manager,Manchester,Male,White,2022-11-30,25.0,3.0,2.1,9.0,1,Career growth,2024-09-23,0,25-36m,68000,40800.0,2.54,1,2022.0
EMP01161,Sales & Commercial,Senior Manager,Dublin,Male,White,2020-12-28,48.0,3.5,3.9,9.0,0,,,0,37-60m,88000,52800.0,1.26,0,2020.0
EMP01704,Technology,Analyst,London,Female,White,2024-08-01,5.0,2.8,2.7,14.0,0,,,0,0-6m,38000,22800.0,2.26,1,2024.0
EMP02176,Operations,Analyst,London,Female,Not disclosed,2024-12-01,1.0,3.0,3.6,13.0,0,,,0,0-6m,38000,22800.0,1.64,0,2024.0
EMP01402,Legal & Compliance,Senior Analyst,Amsterdam,Female,Other / prefer not to say,2022-10-30,26.0,3.1,3.3,4.0,0,,,0,25-36m,52000,31200.0,1.78,0,2022.0
EMP01669,Technology,Analyst,London,Female,Asian / Asian British,2024-12-01,1.0,3.3,4.6,10.0,0,,,0,0-6m,38000,22800.0,0.92,0,2024.0
EMP01351,Operations,Director,London,Male,White,2018-12-27,72.0,4.3,5.0,0.0,0,,,0,60m+,118000,70800.0,0.28,0,2018.0
EMP02096,Technology,Analyst,London,Female,White,2023-12-31,12.0,2.3,4.0,13.0,0,,,0,7-12m,38000,22800.0,1.68,0,2023.0
EMP01612,Customer Success,Manager,London,Female,White,2022-06-30,30.0,3.4,3.2,1.0,0,,,0,25-36m,68000,40800.0,1.72,0,2022.0
EMP01155,Marketing,Senior Analyst,London,Male,White,2023-10-31,14.0,3.1,3.1,7.0,0,,,0,13-24m,52000,31200.0,1.9,0,2023.0
EMP01344,Operations,Analyst,London,Male,Asian / Asian British,2023-12-01,13.0,3.2,3.3,17.0,0,,,0,13-24m,38000,22800.0,1.74,0,2023.0
EMP01781,Finance,Analyst,London,Male,White,2023-07-01,18.0,4.1,4.7,7.0,0,,,0,13-24m,38000,22800.0,0.54,0,2023.0
EMP01998,Technology,Senior Manager,Amsterdam,Male,Other / prefer not to say,2020-07-29,53.0,2.8,3.8,0.0,0,,,0,37-60m,88000,52800.0,1.6,0,2020.0
EMP01872,Sales & Commercial,Senior Analyst,London,Non-binary / prefer not to say,White,2022-05-31,31.0,4.5,4.8,11.0,0,,,0,25-36m,52000,31200.0,0.32,0,2022.0
EMP01785,Technology,Analyst,Manchester,Female,White,2023-08-01,17.0,3.8,2.8,8.0,0,,,0,13-24m,38000,22800.0,1.8,0,2023.0
EMP01301,Technology,Senior Analyst,Manchester,Male,White,2022-07-31,29.0,3.2,2.8,6.0,0,,,0,25-36m,52000,31200.0,2.04,1,2022.0
EMP01894,Sales & Commercial,Senior Analyst,Manchester,Female,Black / African / Caribbean,2023-04-01,21.0,3.4,2.9,1.0,1,Career growth,2024-06-16,0,13-24m,52000,31200.0,1.9,0,2023.0
EMP01940,Operations,Senior Manager,Dublin,Male,Not disclosed,2020-06-28,54.0,4.1,4.8,8.0,0,,,0,37-60m,88000,52800.0,0.48,0,2020.0
EMP01226,Sales & Commercial,Director,Lagos,Male,White,2018-02-25,82.0,3.1,1.8,6.0,0,,,0,60m+,118000,70800.0,2.68,1,2018.0
EMP01173,Operations,Senior Manager,London,Male,White,2019-12-28,60.0,3.0,3.8,6.0,0,,,0,37-60m,88000,52800.0,1.52,0,2019.0
EMP01408,Technology,Senior Manager,London,Male,White,2021-01-28,47.0,3.6,2.8,3.0,0,,,0,37-60m,88000,52800.0,1.88,0,2021.0
EMP01482,Finance,Director,Amsterdam,Male,White,2018-09-27,75.0,3.9,4.2,4.0,0,,,0,60m+,118000,70800.0,0.92,0,2018.0
EMP01582,Marketing,Senior Manager,London,Female,White,2020-05-29,55.0,3.4,3.1,8.0,1,Relocation,,1,37-60m,88000,52800.0,1.78,0,2020.0
EMP01352,People & Culture,Manager,Dublin,Female,White,2022-11-30,25.0,4.2,2.0,12.0,0,,,0,25-36m,68000,40800.0,2.12,1,2022.0
EMP01955,Operations,Analyst,London,Male,Mixed / Multiple ethnic groups,2022-12-30,24.0,2.1,3.9,14.0,1,Career growth,2023-06-22,0,13-24m,38000,22800.0,1.82,0,2022.0
EMP01502,Operations,Senior Analyst,Dublin,Male,White,2023-06-01,19.0,2.4,1.3,6.0,1,Work-life balance,2023-12-15,0,13-24m,52000,31200.0,3.26,1,2023.0
EMP01064,Sales & Commercial,Senior Analyst,Manchester,Not disclosed,White,2024-04-01,9.0,3.4,3.4,7.0,0,,,0,7-12m,52000,31200.0,1.6,0,2024.0
EMP01961,Technology,Manager,Dublin,Female,Asian / Asian British,2021-09-29,39.0,2.6,2.9,5.0,0,,,0,37-60m,68000,40800.0,2.22,1,2021.0
EMP01293,Customer Success,Analyst,London,Female,Asian / Asian British,2022-02-28,34.0,3.5,2.2,6.0,1,Work-life balance,2023-02-23,0,25-36m,38000,22800.0,2.28,1,2022.0
EMP01089,People & Culture,Analyst,Manchester,Male,White,2024-03-01,10.0,3.3,2.7,15.0,0,,,0,7-12m,38000,22800.0,2.06,1,2024.0
EMP01658,Sales & Commercial,Senior Analyst,London,Male,White,2024-12-01,1.0,3.5,3.3,8.0,0,,,0,0-6m,52000,31200.0,1.62,0,2024.0
EMP01339,Operations,Analyst,Lagos,Male,Black / African / Caribbean,2024-12-01,1.0,2.8,4.4,1.0,0,,,0,0-6m,38000,22800.0,1.24,0,2024.0
EMP01916,Operations,Analyst,Dublin,Male,White,2022-09-30,27.0,3.4,3.5,13.0,0,,,0,25-36m,38000,22800.0,1.54,0,2022.0
EMP01416,Operations,Manager,Dublin,Male,Black / African / Caribbean,2022-03-31,33.0,4.4,1.6,7.0,0,,,0,25-36m,68000,40800.0,2.28,1,2022.0
EMP01842,Finance,Senior Analyst,London,Female,Asian / Asian British,2023-07-01,18.0,2.5,3.2,5.0,0,,,0,13-24m,52000,31200.0,2.08,1,2023.0
EMP01833,Technology,Senior Analyst,London,Male,White,2023-03-01,22.0,1.8,3.6,6.0,1,Career growth,2024-09-23,0,13-24m,52000,31200.0,2.12,1,2023.0
EMP01215,Customer Success,Senior Analyst,London,Male,White,2023-10-31,14.0,3.3,2.8,4.0,0,,,0,13-24m,52000,31200.0,2.0,0,2023.0
EMP01899,Technology,Manager,London,Male,Other / prefer not to say,2022-08-30,28.0,3.8,4.9,17.0,0,,,0,25-36m,68000,40800.0,0.54,0,2022.0
EMP01668,Technology,Analyst,Lagos,Male,Not disclosed,2023-10-01,15.0,4.3,4.3,4.0,0,,,0,13-24m,38000,22800.0,0.7,0,2023.0
EMP01404,Customer Success,Senior Analyst,Lagos,Male,Black / African / Caribbean,2023-03-01,22.0,3.4,3.3,9.0,0,,,0,13-24m,52000,31200.0,1.66,0,2023.0
EMP01672,People & Culture,Analyst,Manchester,Non-binary / prefer not to say,White,2023-12-31,12.0,3.4,3.6,5.0,0,,,0,7-12m,38000,22800.0,1.48,0,2023.0
EMP01983,Technology,Analyst,London,Female,Black / African / Caribbean,2023-10-01,15.0,3.8,3.5,13.0,1,Compensation,2024-09-15,0,13-24m,38000,22800.0,1.38,0,2023.0
EMP02119,Sales & Commercial,Senior Analyst,London,Male,White,2022-12-30,24.0,4.0,2.7,2.0,1,Relocation,2023-07-01,0,13-24m,52000,31200.0,1.78,0,2022.0
EMP01513,Legal & Compliance,Manager,Dublin,Male,Mixed / Multiple ethnic groups,2021-03-30,45.0,4.0,3.3,18.0,0,,,0,37-60m,68000,40800.0,1.42,0,2021.0
EMP01771,Technology,Analyst,Dublin,Male,Other / prefer not to say,2023-12-01,13.0,1.5,2.0,5.0,1,Compensation,2024-10-30,0,13-24m,38000,22800.0,3.2,1,2023.0
EMP01054,People & Culture,Analyst,London,Male,White,2024-05-01,8.0,2.7,1.7,18.0,0,,,0,7-12m,38000,22800.0,2.9,1,2024.0
EMP02023,Legal & Compliance,Analyst,Dublin,Male,Black / African / Caribbean,2024-03-01,10.0,2.4,3.1,5.0,0,,,0,7-12m,38000,22800.0,2.18,1,2024.0
EMP01939,Technology,Analyst,Manchester,Male,White,2021-12-29,36.0,3.4,2.6,12.0,0,,,0,25-36m,38000,22800.0,2.08,1,2021.0
EMP01018,Operations,Manager,London,Female,Asian / Asian British,2021-12-29,36.0,2.5,3.3,4.0,0,,,0,25-36m,68000,40800.0,2.02,1,2021.0
EMP01168,Technology,Senior Manager,London,Not disclosed,Black / African / Caribbean,2019-12-28,60.0,3.1,3.5,9.0,0,,,0,37-60m,88000,52800.0,1.66,0,2019.0
EMP01714,Operations,Senior Analyst,London,Female,Black / African / Caribbean,2023-06-01,19.0,4.6,3.8,9.0,0,,,0,13-24m,52000,31200.0,0.88,0,2023.0
EMP01953,Technology,Manager,Amsterdam,Male,White,2022-06-30,30.0,3.6,4.0,8.0,0,,,0,25-36m,68000,40800.0,1.16,0,2022.0
EMP01561,Customer Success,Senior Analyst,London,Female,Black / African / Caribbean,2024-06-01,7.0,4.0,3.5,13.0,0,,,0,7-12m,52000,31200.0,1.3,0,2024.0
EMP01776,Technology,Director,London,Female,White,2021-02-27,46.0,3.7,1.9,10.0,0,,,0,37-60m,118000,70800.0,2.38,1,2021.0
EMP01657,Sales & Commercial,Manager,Manchester,Non-binary / prefer not to say,White,2023-03-01,22.0,2.9,3.0,10.0,1,Better opportunity,2023-09-18,0,13-24m,68000,40800.0,2.04,1,2023.0
EMP01108,Customer Success,Senior Manager,London,Male,White,2021-01-28,47.0,4.2,3.7,7.0,0,,,0,37-60m,88000,52800.0,1.1,0,2021.0
EMP01628,Customer Success,Director,Manchester,Female,White,2019-03-29,69.0,4.7,5.0,6.0,0,,,0,60m+,118000,70800.0,0.12,0,2019.0
EMP01836,Operations,Senior Analyst,London,Male,White,2022-08-30,28.0,3.5,3.7,3.0,0,,,0,25-36m,52000,31200.0,1.38,0,2022.0
EMP01649,Customer Success,Senior Manager,London,Female,White,2020-12-28,48.0,3.4,3.3,7.0,0,,,0,37-60m,88000,52800.0,1.66,0,2020.0
EMP01841,Technology,Senior Manager,London,Female,White,2020-10-28,50.0,2.0,4.2,0.0,0,,,0,37-60m,88000,52800.0,1.68,0,2020.0
EMP01921,People & Culture,Senior Manager,Manchester,Female,White,2020-08-28,52.0,3.6,4.3,7.0,0,,,0,37-60m,88000,52800.0,0.98,0,2020.0
EMP01519,Marketing,Director,London,Male,White,2019-10-28,62.0,3.5,4.9,13.0,0,,,0,60m+,118000,70800.0,0.66,0,2019.0
EMP01632,People & Culture,Manager,London,Female,White,2022-10-30,26.0,4.5,3.4,10.0,0,,,0,25-36m,68000,40800.0,1.16,0,2022.0
EMP01003,Customer Success,Analyst,London,Male,Not disclosed,2023-10-31,14.0,4.3,2.4,7.0,0,,,0,13-24m,38000,22800.0,1.84,0,2023.0
EMP01373,Technology,Manager,Amsterdam,Male,White,2021-08-29,40.0,2.1,1.5,8.0,1,Work-life balance,2023-05-20,0,37-60m,68000,40800.0,3.26,1,2021.0
EMP01043,Technology,Manager,Dublin,Male,White,2023-12-31,12.0,3.8,3.9,8.0,1,Better opportunity,2024-04-21,0,7-12m,68000,40800.0,1.14,0,2023.0
EMP02024,Marketing,Analyst,London,Female,Asian / Asian British,2024-12-01,1.0,1.9,3.2,12.0,1,Relocation,2025-01-31,0,0-6m,38000,22800.0,2.32,1,2024.0
EMP01087,Customer Success,Analyst,Manchester,Female,White,2023-07-01,18.0,3.0,3.1,11.0,1,Compensation,2024-04-02,0,13-24m,38000,22800.0,1.94,0,2023.0
EMP01647,Operations,Analyst,London,Male,White,2023-07-01,18.0,3.3,3.5,14.0,0,,,0,13-24m,38000,22800.0,1.58,0,2023.0
EMP01854,People & Culture,Director,London,Female,White,2019-08-28,64.0,3.4,2.9,7.0,0,,,0,60m+,118000,70800.0,1.9,0,2019.0
EMP01214,Sales & Commercial,Analyst,Dublin,Female,Black / African / Caribbean,2023-03-01,22.0,2.9,3.1,11.0,1,Better opportunity,2023-08-12,0,13-24m,38000,22800.0,1.98,0,2023.0
EMP02094,Operations,Senior Analyst,Amsterdam,Female,White,2024-08-01,5.0,3.6,3.5,11.0,1,Career growth,2024-11-25,0,0-6m,52000,31200.0,1.46,0,2024.0
EMP01429,Sales & Commercial,Analyst,London,Female,White,2023-10-31,14.0,3.4,2.1,7.0,1,Work-life balance,2024-11-19,0,13-24m,38000,22800.0,2.38,1,2023.0
EMP01798,Operations,Analyst,Amsterdam,Male,Black / African / Caribbean,2024-03-01,10.0,4.3,2.5,13.0,0,,,0,7-12m,38000,22800.0,1.78,0,2024.0
EMP01880,Sales & Commercial,Manager,Dublin,Female,White,2020-07-29,53.0,2.5,4.7,19.0,0,,,0,37-60m,68000,40800.0,1.18,0,2020.0
EMP01066,Operations,Analyst,London,Male,Black / African / Caribbean,2024-12-01,1.0,2.2,4.5,11.0,0,,,0,0-6m,38000,22800.0,1.42,0,2024.0
EMP01777,Sales & Commercial,Analyst,Dublin,Male,Black / African / Caribbean,2024-04-01,9.0,4.1,1.9,6.0,1,Compensation,2024-12-09,0,7-12m,38000,22800.0,2.22,1,2024.0
EMP01267,Finance,Director,London,Not disclosed,White,2018-04-27,80.0,3.5,4.2,11.0,0,,,0,60m+,118000,70800.0,1.08,0,2018.0
EMP01698,Operations,Analyst,London,Male,Mixed / Multiple ethnic groups,2024-12-01,1.0,3.4,3.4,12.0,0,,,0,0-6m,38000,22800.0,1.6,0,2024.0
EMP01654,Customer Success,Senior Manager,London,Female,White,2020-06-28,54.0,3.7,4.2,5.0,0,,,0,37-60m,88000,52800.0,1.0,0,2020.0
EMP01703,Sales & Commercial,Manager,Amsterdam,Female,White,2021-06-29,42.0,3.0,3.5,15.0,1,Career growth,2024-01-09,0,37-60m,68000,40800.0,1.7,0,2021.0
EMP01437,Technology,Senior Analyst,Lagos,Non-binary / prefer not to say,Black / African / Caribbean,2023-10-31,14.0,2.7,3.7,9.0,0,,,0,13-24m,52000,31200.0,1.7,0,2023.0
EMP01713,Operations,Director,Dublin,Male,Asian / Asian British,2018-05-28,79.0,3.0,3.5,13.0,0,,,0,60m+,118000,70800.0,1.7,0,2018.0
EMP01982,Customer Success,Analyst,London,Male,White,2023-10-01,15.0,3.25,4.7,0.0,0,,,0,13-24m,38000,22800.0,0.88,0,2023.0
EMP01759,People & Culture,Manager,Amsterdam,Female,White,2022-05-31,31.0,3.8,3.3,8.0,0,,,0,25-36m,68000,40800.0,1.5,0,2022.0
EMP01981,Sales & Commercial,Senior Analyst,London,Female,Black / African / Caribbean,2022-06-30,30.0,2.8,4.3,2.0,0,,,0,25-36m,52000,31200.0,1.3,0,2022.0
EMP01639,Sales & Commercial,Senior Manager,London,Female,White,2021-07-30,41.0,3.4,4.1,16.0,0,,,0,37-60m,88000,52800.0,1.18,0,2021.0
EMP01254,Sales & Commercial,Senior Analyst,London,Female,White,2021-10-29,38.0,2.8,2.5,5.0,1,Better opportunity,2022-03-26,0,37-60m,52000,31200.0,2.38,1,2021.0
EMP01130,Operations,Senior Analyst,Lagos,Female,Mixed / Multiple ethnic groups,2023-12-01,13.0,3.8,3.3,7.0,1,Work-life balance,2024-11-04,0,13-24m,52000,31200.0,1.5,0,2023.0
EMP01779,Customer Success,Senior Manager,Amsterdam,Male,Mixed / Multiple ethnic groups,2020-05-29,55.0,4.4,2.2,7.0,0,,,0,37-60m,88000,52800.0,1.92,0,2020.0
EMP01588,Technology,Manager,Manchester,Female,Other / prefer not to say,2021-07-30,41.0,3.7,4.5,6.0,0,,,0,37-60m,68000,40800.0,0.82,0,2021.0
EMP02015,Customer Success,Manager,Dublin,Male,White,2022-04-30,32.0,2.2,4.4,7.0,0,,,0,25-36m,68000,40800.0,1.48,0,2022.0
EMP01125,Sales & Commercial,Director,Amsterdam,Male,White,2018-04-27,80.0,3.8,4.5,2.0,0,,,0,60m+,118000,70800.0,0.78,0,2018.0
EMP01308,Sales & Commercial,Senior Analyst,London,Not disclosed,White,2022-11-30,25.0,3.6,3.3,7.0,0,,,0,25-36m,52000,31200.0,1.58,0,2022.0
EMP01208,Finance,Senior Manager,London,Male,Asian / Asian British,2021-09-29,39.0,4.3,3.4,4.0,0,,,0,37-60m,88000,52800.0,1.24,0,2021.0
EMP01358,Operations,Senior Analyst,Amsterdam,Not disclosed,Not disclosed,2023-10-31,14.0,3.1,3.3,9.0,0,,,0,13-24m,52000,31200.0,1.78,0,2023.0
EMP01822,Technology,Senior Analyst,London,Non-binary / prefer not to say,Mixed / Multiple ethnic groups,2022-08-30,28.0,3.6,4.0,4.0,0,,,0,25-36m,52000,31200.0,1.16,0,2022.0
EMP01620,Customer Success,Senior Analyst,Dublin,Male,Not disclosed,2022-11-30,25.0,4.1,2.6,0.0,0,,,0,25-36m,52000,31200.0,1.8,0,2022.0
EMP01987,Finance,Senior Manager,London,Male,White,2020-01-28,59.0,4.8,2.1,15.0,0,,,0,37-60m,88000,52800.0,1.82,0,2020.0
EMP01702,Technology,Analyst,Dublin,Female,White,2024-05-01,8.0,2.6,3.9,0.0,0,,,0,7-12m,38000,22800.0,1.62,0,2024.0
EMP01978,Technology,Manager,London,Male,White,2020-06-28,54.0,2.9,3.5,6.0,0,,,0,37-60m,68000,40800.0,1.74,0,2020.0
EMP01235,Technology,Analyst,Dublin,Male,White,2024-10-31,2.0,3.9,4.2,6.0,0,,,0,0-6m,38000,22800.0,0.92,0,2024.0
EMP01533,Marketing,Senior Analyst,London,Female,White,2022-03-31,33.0,2.5,3.4,11.0,0,,,0,25-36m,52000,31200.0,1.96,0,2022.0
EMP01734,Operations,Manager,Manchester,Female,Asian / Asian British,2022-01-29,35.0,2.9,2.7,0.0,1,Better opportunity,2024-08-27,0,25-36m,68000,40800.0,2.22,1,2022.0
EMP01258,Finance,Manager,Amsterdam,Female,White,2020-01-28,59.0,4.4,3.9,8.0,0,,,0,37-60m,68000,40800.0,0.9,0,2020.0
EMP01147,Finance,Senior Analyst,London,Female,Black / African / Caribbean,2023-10-01,15.0,2.4,2.9,4.0,0,,,0,13-24m,52000,31200.0,2.3,1,2023.0
EMP01655,Operations,Senior Manager,Dublin,Male,Black / African / Caribbean,2019-05-29,67.0,4.6,2.1,16.0,0,,,0,60m+,88000,52800.0,1.9,0,2019.0
EMP01390,Customer Success,Manager,Lagos,Female,White,2022-05-31,31.0,3.5,4.2,10.0,0,,,0,25-36m,68000,40800.0,1.08,0,2022.0
EMP01145,Sales & Commercial,Manager,London,Male,Asian / Asian British,2023-03-01,22.0,2.6,4.3,5.0,0,,,0,13-24m,68000,40800.0,1.38,0,2023.0
EMP01496,Sales & Commercial,Analyst,Amsterdam,Male,White,2023-08-31,16.0,4.2,3.0,10.0,0,,,0,13-24m,38000,22800.0,1.52,0,2023.0
EMP01026,Customer Success,Manager,Amsterdam,Not disclosed,White,2020-12-28,48.0,3.9,3.9,5.0,0,,,0,37-60m,68000,40800.0,1.1,0,2020.0
EMP01154,Operations,Manager,Lagos,Female,Black / African / Caribbean,2022-05-31,31.0,3.3,2.0,10.0,0,,,0,25-36m,68000,40800.0,2.48,1,2022.0
EMP01523,Marketing,Senior Analyst,Amsterdam,Female,White,2023-12-01,13.0,2.2,4.0,8.0,0,,,0,13-24m,52000,31200.0,1.72,0,2023.0
EMP01431,Technology,Manager,Manchester,Female,Black / African / Caribbean,2022-01-29,35.0,3.1,4.7,14.0,0,,,0,25-36m,68000,40800.0,0.94,0,2022.0
EMP01580,Sales & Commercial,Senior Manager,Lagos,Male,White,2019-06-28,66.0,4.2,3.4,7.0,0,,,0,60m+,88000,52800.0,1.28,0,2019.0
EMP01707,Sales & Commercial,Director,Dublin,Male,White,2018-09-27,75.0,3.4,2.8,10.0,0,,,0,60m+,118000,70800.0,1.96,0,2018.0
EMP01616,Legal & Compliance,Director,London,Female,White,2020-11-28,49.0,3.1,3.4,3.0,0,,,0,37-60m,118000,70800.0,1.72,0,2020.0
EMP01977,Operations,Analyst,Dublin,Male,Black / African / Caribbean,2024-08-31,4.0,2.5,2.8,15.0,0,,,0,0-6m,38000,22800.0,2.32,1,2024.0
EMP01334,Technology,Analyst,Lagos,Male,White,2024-04-01,9.0,3.2,3.8,17.0,0,,,0,7-12m,38000,22800.0,1.44,0,2024.0
EMP01992,Finance,Senior Manager,Amsterdam,Male,Black / African / Caribbean,2021-01-28,47.0,3.1,4.3,6.0,0,,,0,37-60m,88000,52800.0,1.18,0,2021.0
EMP01993,Sales & Commercial,Manager,Amsterdam,Female,Not disclosed,2022-05-31,31.0,2.1,3.2,2.0,0,,,0,25-36m,68000,40800.0,2.24,1,2022.0
EMP01288,Operations,Manager,London,Female,Not disclosed,2021-09-29,39.0,4.5,4.6,13.0,0,,,0,37-60m,68000,40800.0,0.44,0,2021.0
EMP01589,Technology,Analyst,Dublin,Female,White,2023-10-31,14.0,2.9,2.6,12.0,0,,,0,13-24m,38000,22800.0,2.28,1,2023.0
EMP02111,Customer Success,Senior Analyst,London,Male,White,2024-06-01,7.0,3.6,3.2,9.0,0,,,0,7-12m,52000,31200.0,1.64,0,2024.0
EMP01949,People & Culture,Senior Analyst,London,Female,Other / prefer not to say,2023-12-31,12.0,3.4,2.6,12.0,0,,,0,7-12m,52000,31200.0,2.08,1,2023.0
EMP01726,People & Culture,Analyst,Manchester,Non-binary / prefer not to say,White,2024-04-01,9.0,4.2,2.8,11.0,0,,,0,7-12m,38000,22800.0,1.64,0,2024.0
EMP01102,Finance,Director,Dublin,Female,White,2018-06-27,78.0,3.1,4.8,2.0,0,,,0,60m+,118000,70800.0,0.88,0,2018.0
EMP01479,Marketing,Analyst,Manchester,Female,Mixed / Multiple ethnic groups,2023-12-01,13.0,3.4,3.9,6.0,0,,,0,13-24m,38000,22800.0,1.3,0,2023.0
EMP01681,Customer Success,Manager,Dublin,Male,Asian / Asian British,2022-08-30,28.0,2.6,4.3,15.0,0,,,0,25-36m,68000,40800.0,1.38,0,2022.0
EMP01302,Operations,Senior Analyst,Lagos,Male,White,2022-09-30,27.0,1.6,2.7,11.0,1,Career growth,2024-07-12,0,25-36m,52000,31200.0,2.74,1,2022.0
EMP01611,Technology,Manager,Manchester,Male,Black / African / Caribbean,2023-07-01,18.0,2.3,5.0,7.5,0,,,0,13-24m,68000,40800.0,1.08,0,2023.0
EMP01581,Operations,Analyst,London,Male,White,2024-10-01,3.0,2.6,2.6,5.0,0,,,0,0-6m,38000,22800.0,2.4,1,2024.0
EMP01924,Customer Success,Senior Analyst,Manchester,Female,White,2023-12-01,13.0,4.5,1.8,9.0,0,,,0,13-24m,52000,31200.0,2.12,1,2023.0
EMP01516,Technology,Director,Dublin,Male,White,2020-04-28,56.0,3.4,3.5,5.0,0,,,0,37-60m,118000,70800.0,1.54,0,2020.0
EMP02160,Technology,Analyst,Manchester,Non-binary / prefer not to say,Asian / Asian British,2023-06-01,19.0,3.3,3.3,8.0,0,,,0,13-24m,38000,22800.0,1.7,0,2023.0
EMP02194,Finance,Analyst,Manchester,Male,White,2024-10-01,3.0,1.7,2.8,11.0,1,Career growth,2024-12-22,0,0-6m,38000,22800.0,2.64,1,2024.0
EMP01273,People & Culture,Senior Manager,Dublin,Male,White,2019-11-28,61.0,2.8,3.4,4.0,0,,,0,60m+,88000,52800.0,1.84,0,2019.0
EMP01897,Sales & Commercial,Senior Analyst,Manchester,Female,White,2023-12-01,13.0,3.2,3.2,9.0,0,,,0,13-24m,52000,31200.0,1.8,0,2023.0
EMP02008,People & Culture,Senior Manager,Lagos,Male,Other / prefer not to say,2020-06-28,54.0,2.7,3.1,11.0,1,Compensation,2024-10-03,0,37-60m,88000,52800.0,2.06,1,2020.0
EMP01305,Customer Success,Senior Analyst,Dublin,Female,White,2021-05-30,43.0,2.9,3.6,5.0,0,,,0,37-60m,52000,31200.0,1.68,0,2021.0
EMP01320,Sales & Commercial,Senior Manager,London,Female,White,2020-03-29,57.0,3.3,3.0,11.0,0,,,0,37-60m,88000,52800.0,1.88,0,2020.0
EMP01686,Operations,Senior Analyst,Dublin,Female,Other / prefer not to say,2024-10-31,2.0,5.0,3.5,13.0,0,,,0,0-6m,52000,31200.0,0.9,0,2024.0
EMP01778,Customer Success,Senior Analyst,Amsterdam,Female,Other / prefer not to say,2023-05-01,20.0,3.1,3.7,10.0,0,,,0,13-24m,52000,31200.0,1.54,0,2023.0
