employee_id,department,job_level,location,gender,ethnicity,hire_date,tenure_months,performance_score,engagement_score,absence_days_ytd,left_company,exit_reason,exit_date
EMP01698,Operations,Analyst,London,Male,Mixed / Multiple ethnic groups,2024-12-01,1,3.4,3.4,12.0,0,,
EMP01654,Customer Success,Senior Manager,London,Female,White,2020-06-28,54,3.7,4.2,5.0,0,,
EMP01703,Sales & Commercial,Manager,Amsterdam,Female,White,2021-06-29,42,3.0,3.5,15.0,1,Career growth,2024-01-09
EMP01437,Technology,Senior Analyst,Lagos,Non-binary / prefer not to say,Black / African / Caribbean,2023-10-31,14,2.7,3.7,9.0,0,,
EMP01713,Operations,Director,Dublin,Male,Asian / Asian British,2018-05-28,79,3.0,,13.0,0,,
EMP01982,Customer Success,Analyst,London,Male,White,2023-10-01,15,5.5,4.7,0.0,0,,
EMP01759,People & Culture,Manager,Amsterdam,Female,White,2022-05-31,31,3.8,3.3,,0,,
EMP01981,Sales & Commercial,Senior Analyst,London,Female,Black / African / Caribbean,2022-06-30,30,2.8,4.3,2.0,0,,
EMP01639,Sales & Commercial,Senior Manager,London,Female,White,2021-07-30,41,,4.1,16.0,0,,
EMP01254,Sales & Commercial,Senior Analyst,London,Female,White,2021-10-29,38,2.8,2.5,5.0,1,Better opportunity,2022-03-26
EMP01130,Operations,Senior Analyst,Lagos,Female,Mixed / Multiple ethnic groups,2023-12-01,13,3.8,3.3,7.0,1,Work-life balance,2024-11-04
EMP01779,Customer Success,Senior Manager,Amsterdam,Male,Mixed / Multiple ethnic groups,2020-05-29,55,4.4,2.2,7.0,0,,
EMP01588,Technology,Manager,Manchester,Female,Other / prefer not to say,2021-07-30,41,3.7,4.5,6.0,0,,
EMP02015,Customer Success,Manager,Dublin,Male,White,2022-04-30,32,2.2,4.4,7.0,0,,
EMP01125,Sales & Commercial,Director,Amsterdam,Male,White,2018-04-27,80,3.8,4.5,2.0,0,,
EMP01308,Sales & Commercial,Senior Analyst,London,,White,2022-11-30,25,3.6,3.3,7.0,0,,
EMP01208,Finance,Senior Manager,London,Male,Asian / Asian British,2021-09-29,39,4.3,3.4,4.0,0,,
EMP01358,Operations,Senior Analyst,Amsterdam,,,2023-10-31,14,3.1,3.3,9.0,0,,
EMP01822,Technology,Senior Analyst,London,Non-binary / prefer not to say,Mixed / Multiple ethnic groups,2022-08-30,28,3.6,4.0,4.0,0,,
EMP01620,Customer Success,Senior Analyst,Dublin,Male,,2022-11-30,25,4.1,2.6,0.0,0,,
EMP01987,Finance,Senior Manager,London,Male,White,2020-01-28,59,4.8,2.1,15.0,0,,
EMP01702,Technology,Analyst,Dublin,Female,White,2024-05-01,8,2.6,3.9,0.0,0,,
EMP01978,Technology,Manager,London,Male,White,2020-06-28,54,2.9,,6.0,0,,
EMP01235,Technology,Analyst,Dublin,Male,White,2024-10-31,2,3.9,4.2,6.0,0,,
EMP01533,Marketing,Senior Analyst,London,Female,White,2022-03-31,33,2.5,3.4,11.0,0,,
EMP01734,Operations,Manager,Manchester,Female,Asian / Asian British,2022-01-29,35,2.9,2.7,0.0,1,Better opportunity,2024-08-27
EMP01258,Finance,Manager,Amsterdam,Female,White,2020-01-28,59,4.4,3.9,8.0,0,,
EMP01147,Finance,Senior Analyst,London,Female,Black / African / Caribbean,2023-10-01,15,2.4,2.9,4.0,0,,
EMP01655,Operations,Senior Manager,Dublin,Male,Black / African / Caribbean,2019-05-29,67,4.6,2.1,16.0,0,,
EMP01390,Customer Success,Manager,Lagos,Female,White,2022-05-31,31,3.5,4.2,10.0,0,,
EMP01145,Sales & Commercial,Manager,London,Male,Asian / Asian British,2023-03-01,22,2.6,4.3,5.0,0,,
EMP01496,Sales & Commercial,Analyst,Amsterdam,Male,White,2023-08-31,16,4.2,3.0,10.0,0,,
EMP01026,Customer Success,Manager,Amsterdam,,White,2020-12-28,48,3.9,3.9,5.0,0,,
EMP01154,Operations,Manager,Lagos,Female,Black / African / Caribbean,2022-05-31,31,3.3,2.0,10.0,0,,
EMP01523,Marketing,Senior Analyst,Amsterdam,Female,White,2023-12-01,13,2.2,4.0,8.0,0,,
EMP01431,Technology,Manager,Manchester,Female,Black / African / Caribbean,2022-01-29,35,3.1,4.7,14.0,0,,
EMP01580,Sales & Commercial,Senior Manager,Lagos,Male,White,2019-06-28,66,4.2,3.4,,0,,
EMP01707,Sales & Commercial,Director,Dublin,Male,White,2018-09-27,75,3.4,2.8,10.0,0,,
EMP01616,Legal & Compliance,Director,London,Female,White,2020-11-28,49,3.1,3.4,3.0,0,,
EMP01977,Operations,Analyst,Dublin,Male,Black / African / Caribbean,2024-08-31,4,2.5,2.8,15.0,0,,
EMP01334,Technology,Analyst,Lagos,Male,White,2024-04-01,9,3.2,3.8,17.0,0,,
EMP01992,Finance,Senior Manager,Amsterdam,Male,Black / African / Caribbean,2021-01-28,47,3.1,4.3,6.0,0,,
EMP01993,Sales & Commercial,Manager,Amsterdam,Female,,2022-05-31,31,2.1,3.2,2.0,0,,
EMP01288,Operations,Manager,London,Female,,2021-09-29,39,4.5,4.6,13.0,0,,
EMP01589,Technology,Analyst,Dublin,Female,White,2023-10-31,14,2.9,2.6,12.0,0,,
EMP02111,Customer Success,Senior Analyst,London,Male,White,2024-06-01,7,3.6,3.2,9.0,0,,
EMP01949,People & Culture,Senior Analyst,London,Female,Other / prefer not to say,2023-12-31,12,3.4,2.6,12.0,0,,
EMP01726,People & Culture,Analyst,Manchester,Non-binary / prefer not to say,White,2024-04-01,9,4.2,2.8,11.0,0,,
EMP01102,Finance,Director,Dublin,Female,White,2018-06-27,78,3.1,4.8,2.0,0,,
EMP01479,Marketing,Analyst,Manchester,Female,Mixed / Multiple ethnic groups,2023-12-01,13,,3.9,6.0,0,,
EMP01681,Customer Success,Manager,Dublin,Male,Asian / Asian British,2022-08-30,28,2.6,4.3,15.0,0,,
EMP01302,Operations,Senior Analyst,Lagos,Male,White,2022-09-30,27,1.6,2.7,11.0,1,Career growth,2024-07-12
EMP01611,Technology,Manager,Manchester,Male,Black / African / Caribbean,2023-07-01,18,2.3,5.0,,0,,
EMP01581,operations,Analyst,London,Male,White,2024-10-01,3,2.6,2.6,5.0,0,,
EMP01924,Customer Success,Senior Analyst,Manchester,Female,White,2023-12-01,13,4.5,1.8,9.0,0,,
EMP01516,Technology,Director,Dublin,Male,White,2020-04-28,56,3.4,3.5,5.0,0,,
EMP02160,Technology,Analyst,Manchester,Non-binary / prefer not to say,Asian / Asian British,2023-06-01,19,,3.3,8.0,0,,
EMP02194,Finance,Analyst,Manchester,Male,White,2024-10-01,3,1.7,2.8,11.0,1,Career growth,2024-12-22
EMP01273,People & Culture,Senior Manager,Dublin,Male,White,2019-11-28,61,2.8,3.4,4.0,0,,
EMP01897,Sales & Commercial,Senior Analyst,Manchester,Female,White,2023-12-01,13,3.2,3.2,9.0,0,,
EMP02008,People & Culture,Senior Manager,Lagos,Male,Other / prefer not to say,2020-06-28,54,2.7,3.1,11.0,1,Compensation,2024-10-03
EMP01305,Customer Success,Senior Analyst,Dublin,Female,White,2021-05-30,43,2.9,3.6,5.0,0,,
EMP01320,Sales & Commercial,Senior Manager,London,Female,White,2020-03-29,57,3.3,3.0,11.0,0,,
EMP01686,Operations,Senior Analyst,Dublin,Female,Other / prefer not to say,2024-10-31,2,5.0,,13.0,0,,
EMP01778,Customer Success,Senior Analyst,Amsterdam,Female,Other / prefer not to say,2023-05-01,20,3.1,3.7,10.0,0,,
EMP01049,Operations,Senior Manager,London,Female,Asian / Asian British,2020-04-28,56,2.9,3.3,8.0,0,,
EMP01194,Finance,Senior Analyst,Manchester,Female,Black / African / Caribbean,2023-08-31,16,2.8,2.6,7.0,1,Management,2024-02-17
EMP01475,Operations,Manager,Dublin,Female,,2021-01-28,47,3.4,3.3,5.0,0,,
EMP01945,Technology,Senior Analyst,Manchester,Male,White,2023-01-30,23,3.7,3.4,5.0,0,,
EMP01477,Technology,Analyst,Manchester,Male,White,2024-12-01,1,2.8,3.8,0.0,1,Compensation,2025-01-30
EMP02162,Technology,Senior Analyst,Amsterdam,Non-binary / prefer not to say,Other / prefer not to say,2024-07-01,6,4.1,2.3,0.0,0,,
EMP02109,Finance,Analyst,Amsterdam,Female,White,2023-10-01,15,3.6,2.7,8.0,0,,
EMP01530,People & Culture,Manager,London,Male,White,2022-08-30,28,2.6,4.6,13.0,0,,
EMP01626,Sales & Commercial,Senior Analyst,London,Female,White,2023-12-31,12,4.1,1.7,2.0,0,,
EMP02075,Marketing,Director,Amsterdam,Male,White,2020-12-28,48,4.8,5.0,10.0,0,,
EMP01398,Operations,Analyst,Manchester,Male,White,2023-12-31,12,3.2,3.3,9.0,1,Work-life balance,2024-08-28
EMP01467,Sales & Commercial,Analyst,Manchester,Male,White,2024-10-01,3,3.7,4.7,0.0,0,,
EMP01031,Finance,Senior Manager,Manchester,Female,Asian / Asian British,2019-12-28,60,3.6,2.0,4.0,0,,
EMP01004,Operations,Senior Analyst,London,Male,White,2022-05-31,31,3.6,2.8,14.0,0,,
EMP01178,Sales & Commercial,Senior Analyst,Manchester,Female,White,2023-12-01,13,2.8,2.5,14.0,0,,
EMP01803,Operations,Senior Manager,London,Male,White,2020-08-28,52,4.0,5.0,9.0,0,,
EMP01137,Operations,Analyst,Dublin,Female,Mixed / Multiple ethnic groups,2023-12-01,13,3.7,2.5,7.0,1,Compensation,
EMP02174,Sales & Commercial,Senior Analyst,Lagos,Female,Asian / Asian British,2023-07-01,18,3.0,,0.0,0,,
EMP01730,Technology,Analyst,Amsterdam,Female,White,2023-07-01,18,2.7,3.5,6.0,0,,
EMP02079,Technology,Manager,Manchester,Female,White,2021-01-28,47,3.7,2.3,14.0,1,Work-life balance,2023-06-24
EMP02132,Operations,Analyst,Dublin,Male,White,2024-12-01,1,3.2,3.3,6.0,1,Better opportunity,2025-01-30
EMP01489,Marketing,Manager,Amsterdam,Female,White,2020-07-29,53,2.7,4.7,8.0,0,,
EMP01078,Technology,Director,Dublin,Male,Black / African / Caribbean,2019-05-29,67,3.1,3.6,13.0,0,,
EMP01023,Sales & Commercial,Senior Analyst,Dublin,Male,White,2023-08-31,16,3.7,5.0,7.0,0,,
EMP01566,Operations,Senior Analyst,Dublin,Male,Other / prefer not to say,2022-07-31,29,4.1,4.1,2.0,1,Better opportunity,2023-06-27
EMP01850,operations,Analyst,Manchester,Female,Black / African / Caribbean,2023-03-01,22,3.1,3.3,6.0,0,,
EMP01687,Operations,Analyst,London,Female,White,2024-07-01,6,2.1,1.6,9.0,1,Work-life balance,2024-12-18
EMP02030,Customer Success,Analyst,Manchester,Female,White,2023-08-01,17,3.3,2.1,5.0,0,,
EMP01468,People & Culture,Director,Dublin,Non-binary / prefer not to say,White,2018-03-28,81,2.7,4.5,4.0,0,,
EMP01601,Technology,Director,Dublin,Female,White,2018-10-27,74,4.8,4.3,8.0,0,,
EMP01871,Sales & Commercial,Manager,London,Female,Asian / Asian British,2022-03-31,33,,2.8,0.0,1,Better opportunity,2023-03-31
EMP01255,TECHNOLOGY,Analyst,Dublin,Female,White,2024-04-01,9,3.4,4.9,1.0,0,,
EMP02145,Sales & Commercial,Director,Amsterdam,Male,Other / prefer not to say,2020-05-29,55,4.3,3.4,9.0,1,Compensation,2020-09-09
EMP01397,People & Culture,Analyst,London,Male,Asian / Asian British,2023-12-01,13,4.1,4.3,6.0,0,,
EMP02031,Technology,Manager,Manchester,Male,Other / prefer not to say,2022-10-30,26,3.8,3.9,15.0,0,,
EMP01571,Operations,Senior Analyst,London,Male,White,2022-06-30,30,3.6,2.9,0.0,0,,
EMP01141,Marketing,Analyst,Dublin,Female,White,2024-12-01,1,3.2,2.0,10.0,1,Better opportunity,2025-01-31
EMP01848,Marketing,Manager,London,Female,Asian / Asian British,2021-12-29,36,3.4,4.4,6.0,0,,
EMP01567,Sales & Commercial,Manager,Dublin,Male,Black / African / Caribbean,2021-06-29,42,3.5,3.2,1.0,0,,
EMP01234,Operations,Manager,London,Male,Black / African / Caribbean,2022-03-31,33,3.1,4.2,0.0,0,,
EMP01343,Technology,Senior Analyst,London,Male,Black / African / Caribbean,2022-12-30,24,3.0,5.0,6.0,0,,
EMP01492,Finance,Senior Analyst,Dublin,Male,White,2023-12-31,12,3.4,1.9,3.0,0,,
EMP01881,Sales & Commercial,Analyst,Manchester,Male,White,2023-03-01,22,2.5,4.1,11.0,0,,
EMP01354,Technology,Senior Manager,London,Male,,2018-07-28,77,3.2,3.2,12.0,0,,
EMP01387,Sales & Commercial,Manager,Lagos,Male,Black / African / Caribbean,2023-05-01,20,4.2,3.3,3.0,0,,
EMP01224,Sales & Commercial,Analyst,Amsterdam,,Black / African / Caribbean,2024-12-01,1,3.4,5.0,0.0,0,,
EMP02021,Finance,Manager,Dublin,Female,Asian / Asian British,2020-11-28,49,2.5,3.5,8.0,0,,
EMP02042,Customer Success,Analyst,Manchester,Male,White,2024-10-01,3,3.9,,4.0,0,,
EMP02022,Sales & Commercial,Senior Analyst,Manchester,Female,White,2024-05-01,8,2.8,1.9,11.0,1,Compensation,2024-08-01
EMP01019,Operations,Manager,London,Female,Mixed / Multiple ethnic groups,2021-01-28,47,3.6,1.9,13.0,0,,
EMP01451,Customer Success,Analyst,Dublin,Female,White,2024-04-01,9,2.7,,3.0,1,Career growth,2024-07-11
EMP01656,Technology,Analyst,Lagos,Female,White,2024-12-01,1,2.9,3.6,6.0,1,Redundancy,2025-01-30
EMP02012,Marketing,Senior Manager,London,Male,Other / prefer not to say,2021-09-29,39,4.3,4.6,10.0,0,,
EMP01501,Finance,Director,London,Female,Asian / Asian British,2019-11-28,61,2.7,2.8,15.0,0,,
EMP01526,Operations,Analyst,Amsterdam,Female,White,2024-08-31,4,3.8,4.1,16.0,0,,
EMP01270,Sales & Commercial,Manager,London,Male,White,2022-05-31,31,2.7,2.9,8.0,1,Better opportunity,2024-01-30
EMP01768,People & Culture,Senior Analyst,London,Male,Black / African / Caribbean,2021-11-29,37,2.7,3.0,5.0,0,,
EMP02083,Operations,Senior Analyst,London,Non-binary / prefer not to say,,2024-12-01,1,3.1,4.0,13.0,0,,
EMP01531,Customer Success,Senior Analyst,Manchester,Male,White,2022-12-30,24,3.2,2.9,8.0,0,,
EMP01572,Customer Success,Manager,London,Non-binary / prefer not to say,White,2021-07-30,41,2.5,3.5,8.0,0,,
EMP01690,Technology,Director,London,Female,,2019-12-28,60,3.8,2.2,0.0,1,Better opportunity,2021-01-04
EMP01263,Technology,Analyst,London,Male,White,2024-08-01,5,1.2,2.0,0.0,1,Better opportunity,2024-11-27
EMP01820,Sales & Commercial,Manager,Dublin,Male,White,2021-08-29,40,3.0,3.8,5.0,0,,
EMP01629,Technology,Manager,Dublin,Male,Black / African / Caribbean,2022-01-29,35,3.3,4.1,15.0,0,,
EMP01100,Technology,Manager,London,,Mixed / Multiple ethnic groups,2022-12-30,24,3.2,4.1,1.0,0,,
EMP01225,Sales & Commercial,Director,London,Male,Mixed / Multiple ethnic groups,2019-02-26,70,3.6,3.6,5.0,0,,
EMP01806,Customer Success,Manager,Amsterdam,Female,Black / African / Caribbean,2022-04-30,32,3.7,4.9,4.0,0,,
EMP01958,Technology,Senior Analyst,London,Female,White,2023-05-01,20,3.2,2.9,4.0,0,,
EMP01114,Customer Success,Senior Manager,Manchester,Female,White,2020-01-28,59,3.3,4.1,9.0,0,,
EMP01721,Legal & Compliance,Manager,London,Female,Asian / Asian British,2020-07-29,53,3.0,3.4,7.0,0,,
EMP01543,Sales & Commercial,Manager,London,Male,White,2022-05-31,31,2.2,5.0,9.0,0,,
EMP02001,Technology,Director,London,Male,White,2018-02-25,82,3.9,3.4,14.0,0,,
EMP01103,Sales & Commercial,Analyst,Manchester,Male,White,2024-12-01,1,2.1,2.5,2.0,1,Career growth,2025-01-30
EMP01971,Finance,Manager,London,Female,Black / African / Caribbean,2021-12-29,36,3.8,2.4,5.0,0,,
EMP01617,Technology,Analyst,Dublin,Male,White,2024-12-01,1,3.4,3.1,8.0,1,Better opportunity,2025-01-31
EMP01378,Technology,Manager,London,Female,White,2021-12-29,36,3.5,3.4,,0,,
EMP01764,Customer Success,Senior Analyst,Manchester,Female,White,2024-04-01,9,2.5,2.4,11.0,0,,
EMP01867,Technology,Analyst,Manchester,Male,Black / African / Caribbean,2023-12-01,13,2.9,3.1,9.0,0,,
EMP01318,Technology,Senior Manager,Lagos,Male,White,2020-08-28,52,4.3,4.3,14.0,0,,
EMP02122,Marketing,Manager,Manchester,Male,Other / prefer not to say,2022-10-30,26,3.7,4.5,5.0,0,,
EMP01438,Customer Success,Analyst,London,Female,Black / African / Caribbean,2024-12-01,1,2.8,2.9,6.0,1,Better opportunity,2025-01-30
EMP01708,Customer Success,Senior Analyst,London,,White,2023-04-01,21,3.3,3.6,2.0,0,,
EMP01743,Customer Success,Manager,Manchester,Female,Asian / Asian British,2022-02-28,34,4.2,2.2,1.0,0,,
